name,api success fail
0c3717b7dadd9dd11d3f09907642966760844081.exe,"GetNativeSystemInfo 1 0,NtOpenSection 0 3,RegCloseKey 64 0,NtReadFile 2 0,NtDuplicateObject 5 0,GetSystemInfo 2 0,RegQueryValueExA 26 43,WSAStartup 1 0,GetSystemWindowsDirectoryW 1 0,NtQueryValueKey 0 2,RegCreateKeyExA 2 0,GetFileAttributesW 23 0,OpenServiceW 2 0,RegQueryValueExW 0 3,NtFreeVirtualMemory 5 0,FindFirstFileExW 8 167,NtMapViewOfSection 4 0,GetFileSize 3 0,RegOpenKeyExW 3 1,NtDelayExecution 4 0,connect 0 3,NtAllocateVirtualMemory 17 0,RegOpenKeyExA 62 363,LdrGetDllHandle 703 0,OleInitialize 1 0,NtOpenFile 2 0,GetUserNameW 1 0,CoCreateInstance 1 0,NtUnmapViewOfSection 1 0,NtQueryDirectoryFile 8 8,SetUnhandledExceptionFilter 0 1,GetTempPathW 2 0,NtCreateFile 6 78,GetSystemTimeAsFileTime 1 0,CertOpenSystemStoreA 1 0,RegEnumKeyExA 14 2,closesocket 3 0,NtCreateMutant 4 0,SHGetFolderPathW 164 0,NtCreateSection 4 0,socket 4 0,GetUserNameA 2 0,NtOpenKey 2 0,NtOpenMutant 0 4,OpenSCManagerW 1 0,LdrGetProcedureAddress 843 0,RegSetValueExA 1 0,StartServiceA 1 0,NtOpenDirectoryObject 1 0,SetFileAttributesW 3 0,SetFileTime 3 0,LdrLoadDll 29 0,LookupPrivilegeValueW 8 0,InternetCrackUrlA 8 0,UuidCreate 1 0,NtQueryInformationFile 2 0,NtClose 39 0,"
7df834bb2b2c607998c44531ac4a61f257021adf.exe,"__exception__ 1 0,NtTerminateProcess 0 1,RegOpenKeyExW 0 1,"
2cee4b412234fa4023e1b5434bc58b2bad3808d0.exe,"NtOpenSection 0 4,GetVolumePathNameW 1 0,GetForegroundWindow 1179 0,GetFileVersionInfoSizeW 2 0,GetAdaptersAddresses 4 4,GetFileAttributesW 26 3,NtReadVirtualMemory 10 0,InternetGetConnectedStateExA 1 0,RegOpenKeyExW 149 49,NtDelayExecution 451 0,SetErrorMode 18 0,RegOpenKeyExA 77 7,GetCursorPos 111 0,CertCreateCertificateContext 2 0,GetTempPathW 1 0,NtCreateFile 38 8,GetSystemTimeAsFileTime 65 0,GlobalMemoryStatusEx 3 0,LoadResource 56 0,SetFileAttributesW 1 0,sendto 6 0,NtQueryInformationFile 9 0,RegCreateKeyExW 526 0,DeviceIoControl 1 0,NtQueryKey 1051 2,OpenServiceA 2 0,WriteProcessMemory 264 0,RegQueryValueExA 0 77,EnumWindows 9 0,OpenServiceW 3 0,NtEnumerateValueKey 94 1,NtQueryValueKey 275 196,getsockname 4 0,RegQueryValueExW 52 158,CreateActCtxW 3 1,NtDeviceIoControlFile 43 4,NtReadFile 14 3,NtWriteFile 2 0,LdrGetDllHandle 4278 21,NtQuerySystemInformation 205 0,NtSetValueKey 12 0,CreateDirectoryExW 1 0,CreateThread 12 0,GetSystemDirectoryW 6 0,LoadStringW 195 0,GetVolumeNameForVolumeMountPointW 3 3,NtProtectVirtualMemory 227 0,CoInitializeEx 10 4,RegDeleteValueW 0 1,GlobalMemoryStatus 202 0,socket 12 0,RegSetValueExW 502 0,LdrGetProcedureAddress 6316 3,NtOpenThread 4 0,CopyFileW 1 0,NtEnumerateKey 85 16,NtOpenDirectoryObject 3 0,LdrLoadDll 156 0,UuidCreate 7 0,WriteConsoleW 1 0,CreateToolhelp32Snapshot 23 0,CoUninitialize 16 0,RegCloseKey 750 0,LookupAccountSidW 58 58,GetBestInterfaceEx 2 2,GetNativeSystemInfo 4 0,NtCreateKey 127 0,WSAStartup 8 0,NtTerminateProcess 2 4,SendNotifyMessageW 2 0,CryptCreateHash 7 0,CreateRemoteThread 3 5,GetSystemMetrics 371 0,NtCreateThreadEx 3 0,GetFileSize 0 7,InternetQueryOptionA 1 0,NtAllocateVirtualMemory 126 0,ReadProcessMemory 112 0,CreateDirectoryW 1 4,DeleteFileW 3 0,SHGetFolderPathW 23 0,listen 2 0,GetComputerNameW 1 0,NtResumeThread 11 0,GetFileSizeEx 3 0,CoCreateInstance 31 2,CryptAcquireContextW 7 0,CryptDecodeObjectEx 133 0,FindFirstFileExW 17 4,closesocket 8 0,GetFileInformationByHandleEx 2 0,SetFileInformationByHandle 1 0,NtCreateSection 11 0,NtOpenMutant 0 10,GetFileType 14 0,CreateProcessInternalW 2 0,NtDuplicateObject 48 0,GetSystemWindowsDirectoryA 1 0,DrawTextExW 20 0,InternetCrackUrlW 1 0,GetSystemInfo 11 0,FindWindowW 3 1,GetSystemWindowsDirectoryW 1 0,NtClose 2941 6,RegDeleteKeyW 0 1,NtOpenProcess 557 23,CryptHashData 28 0,NtFreeVirtualMemory 38 1,Process32NextW 720 23,SizeofResource 54 0,NtMapViewOfSection 13 0,Process32FirstW 23 0,GetKeyState 605 0,LdrUnloadDll 30 0,CertOpenStore 5 0,NtOpenFile 14 0,SetFilePointer 30 0,NtUnmapViewOfSection 17 0,NtQueryDirectoryFile 11 9,SetUnhandledExceptionFilter 0 1,NtQueryAttributesFile 2 0,NtCreateMutant 700 0,GetAddrInfoW 0 1,bind 4 0,NtOpenKey 111 43,OpenSCManagerW 3 0,FindResourceW 55 0,CertControlStore 16 0,GetFileVersionInfoW 2 0,NtOpenKeyEx 366 255,OpenSCManagerA 2 0,"
7ce7c8233d831f2f74b60d4edbe56a195f3b9a5f.exe,"GetNativeSystemInfo 1 0,NtOpenSection 0 3,RegCloseKey 65 0,NtReadFile 2 0,NtDuplicateObject 5 0,GetSystemInfo 2 0,RegQueryValueExA 26 43,WSAStartup 1 0,LookupPrivilegeValueW 8 0,NtClose 52 0,RegCreateKeyExA 2 0,GetFileAttributesW 23 0,OpenServiceW 2 0,RegQueryValueExW 1 3,NtOpenDirectoryObject 1 0,FindFirstFileExW 4 161,NtMapViewOfSection 4 0,GetFileSize 3 0,RegOpenKeyExW 11 2,NtDelayExecution 3 0,StartServiceA 1 0,connect 0 2,NtAllocateVirtualMemory 17 0,RegOpenKeyExA 59 362,NtFreeVirtualMemory 5 0,NtQuerySystemInformation 1 0,NtEnumerateValueKey 0 1,OleInitialize 1 0,NtOpenFile 2 0,GetUserNameW 1 0,NtUnmapViewOfSection 1 0,CoCreateInstance 1 0,GetSystemDirectoryW 2 0,NtQueryDirectoryFile 4 4,SetUnhandledExceptionFilter 0 1,GetTempPathW 2 0,NtCreateFile 4 78,GetSystemTimeAsFileTime 2 0,CertOpenSystemStoreA 1 0,RegEnumKeyExA 14 2,closesocket 2 0,NtCreateMutant 4 0,NtProtectVirtualMemory 3 0,SHGetFolderPathW 157 0,LdrGetDllHandle 696 2,NtCreateSection 4 0,socket 3 0,GetUserNameA 2 0,NtOpenKey 14 9,NtOpenMutant 0 4,OpenSCManagerW 1 0,LdrGetProcedureAddress 839 0,RegSetValueExA 1 0,NtEnumerateKey 1 1,SetFileAttributesW 3 0,SetFileTime 3 0,LdrLoadDll 31 0,GetSystemWindowsDirectoryW 1 0,InternetCrackUrlA 6 0,UuidCreate 1 0,NtQueryInformationFile 2 0,NtQueryValueKey 2 9,"
2a3eda5fe9eaf322e8743091b26fcab960a733b6.exe,"__exception__ 1 0,LdrGetDllHandle 1 0,NtTerminateProcess 0 1,LdrGetProcedureAddress 1 0,RegOpenKeyExW 0 1,"
5d1a0609e46dd36332388ba5dc4df782eea215a6.exe,"GetNativeSystemInfo 1 0,NtOpenSection 0 3,RegCloseKey 64 0,NtReadFile 2 0,NtDuplicateObject 5 0,GetSystemInfo 2 0,RegQueryValueExA 26 43,WSAStartup 1 0,GetSystemWindowsDirectoryW 1 0,NtQueryValueKey 0 2,RegCreateKeyExA 2 0,GetFileAttributesW 23 0,OpenServiceW 2 0,RegQueryValueExW 0 3,NtFreeVirtualMemory 16 0,FindFirstFileExW 8 167,NtMapViewOfSection 4 0,GetFileSize 3 0,RegOpenKeyExW 3 1,NtDelayExecution 4 0,connect 0 3,NtAllocateVirtualMemory 23 0,RegOpenKeyExA 61 363,LdrGetDllHandle 703 0,OleInitialize 1 0,NtOpenFile 2 0,GetUserNameW 1 0,CoCreateInstance 1 0,NtUnmapViewOfSection 1 0,NtQueryDirectoryFile 8 8,SetUnhandledExceptionFilter 0 1,GetTempPathW 2 0,NtCreateFile 6 78,GetSystemTimeAsFileTime 1 0,CertOpenSystemStoreA 1 0,RegEnumKeyExA 14 2,closesocket 3 0,NtCreateMutant 4 0,SHGetFolderPathW 164 0,NtCreateSection 4 0,socket 4 0,GetUserNameA 2 0,NtOpenKey 2 0,NtOpenMutant 0 4,OpenSCManagerW 1 0,LdrGetProcedureAddress 843 0,RegSetValueExA 1 0,StartServiceA 1 0,NtOpenDirectoryObject 1 0,SetFileAttributesW 3 0,SetFileTime 3 0,LdrLoadDll 29 0,LookupPrivilegeValueW 8 0,InternetCrackUrlA 8 0,UuidCreate 1 0,NtQueryInformationFile 2 0,NtClose 39 0,"
3ffeaf5dc18ffa8171fd24a59bda5d25ecacfb0d.exe,"GetNativeSystemInfo 1 0,NtOpenSection 0 3,RegCloseKey 65 0,NtReadFile 2 0,NtDuplicateObject 5 0,GetSystemInfo 2 0,RegQueryValueExA 26 43,WSAStartup 1 0,LookupPrivilegeValueW 8 0,NtClose 52 0,RegCreateKeyExA 2 0,GetFileAttributesW 23 0,OpenServiceW 2 0,RegQueryValueExW 1 3,NtOpenDirectoryObject 1 0,FindFirstFileExW 4 161,NtMapViewOfSection 4 0,GetFileSize 3 0,RegOpenKeyExW 9 2,NtDelayExecution 3 0,StartServiceA 1 0,connect 0 3,NtAllocateVirtualMemory 17 0,RegOpenKeyExA 59 362,NtFreeVirtualMemory 5 0,NtQuerySystemInformation 1 0,NtEnumerateValueKey 0 1,OleInitialize 1 0,NtOpenFile 2 0,GetUserNameW 1 0,NtUnmapViewOfSection 1 0,CoCreateInstance 1 0,GetSystemDirectoryW 2 0,NtQueryDirectoryFile 4 4,SetUnhandledExceptionFilter 0 1,GetTempPathW 2 0,NtCreateFile 4 78,GetSystemTimeAsFileTime 2 0,CertOpenSystemStoreA 1 0,RegEnumKeyExA 14 2,closesocket 3 0,NtCreateMutant 4 0,NtProtectVirtualMemory 3 0,SHGetFolderPathW 157 0,LdrGetDllHandle 696 2,NtCreateSection 4 0,socket 3 0,GetUserNameA 2 0,NtOpenKey 14 9,NtOpenMutant 0 4,OpenSCManagerW 1 0,LdrGetProcedureAddress 839 0,RegSetValueExA 1 0,NtEnumerateKey 1 1,SetFileAttributesW 3 0,SetFileTime 3 0,LdrLoadDll 31 0,GetSystemWindowsDirectoryW 1 0,InternetCrackUrlA 6 0,UuidCreate 1 0,NtQueryInformationFile 2 0,NtQueryValueKey 2 9,"
10fb3761b504d84f2f4f8057df7769c4e5aded4a.exe,"GetNativeSystemInfo 1 0,NtOpenSection 0 3,RegCloseKey 64 0,NtReadFile 2 0,NtDuplicateObject 5 0,GetSystemInfo 2 0,RegQueryValueExA 26 43,WSAStartup 1 0,GetSystemWindowsDirectoryW 1 0,NtQueryValueKey 0 2,RegCreateKeyExA 2 0,GetFileAttributesW 23 0,OpenServiceW 2 0,RegQueryValueExW 0 3,NtFreeVirtualMemory 5 0,FindFirstFileExW 8 167,NtMapViewOfSection 4 0,GetFileSize 3 0,RegOpenKeyExW 3 1,NtDelayExecution 4 0,connect 0 3,NtAllocateVirtualMemory 17 0,RegOpenKeyExA 62 363,LdrGetDllHandle 703 0,OleInitialize 1 0,NtOpenFile 2 0,GetUserNameW 1 0,CoCreateInstance 1 0,NtUnmapViewOfSection 1 0,NtQueryDirectoryFile 8 8,SetUnhandledExceptionFilter 0 1,GetTempPathW 2 0,NtCreateFile 6 78,GetSystemTimeAsFileTime 1 0,CertOpenSystemStoreA 1 0,RegEnumKeyExA 14 2,closesocket 3 0,NtCreateMutant 4 0,SHGetFolderPathW 164 0,NtCreateSection 4 0,socket 4 0,GetUserNameA 2 0,NtOpenKey 2 0,NtOpenMutant 0 4,OpenSCManagerW 1 0,LdrGetProcedureAddress 843 0,RegSetValueExA 1 0,StartServiceA 1 0,NtOpenDirectoryObject 1 0,SetFileAttributesW 3 0,SetFileTime 3 0,LdrLoadDll 29 0,LookupPrivilegeValueW 8 0,InternetCrackUrlA 8 0,UuidCreate 1 0,NtQueryInformationFile 2 0,NtClose 39 0,"
6e5f22d604ed2c5fee7d24214ab6c86735eb9834.exe,"GetNativeSystemInfo 1 0,NtOpenSection 0 3,RegCloseKey 65 0,NtReadFile 2 0,NtDuplicateObject 5 0,GetSystemInfo 2 0,RegQueryValueExA 26 43,WSAStartup 1 0,LookupPrivilegeValueW 8 0,NtClose 42 0,RegCreateKeyExA 2 0,GetFileAttributesW 23 0,OpenServiceW 2 0,RegQueryValueExW 1 3,NtFreeVirtualMemory 5 0,FindFirstFileExW 8 167,NtMapViewOfSection 4 0,GetFileSize 3 0,RegOpenKeyExW 4 1,NtDelayExecution 3 0,connect 0 3,NtAllocateVirtualMemory 29 1,RegOpenKeyExA 62 363,NtOpenDirectoryObject 1 0,NtQuerySystemInformation 1 0,OleInitialize 1 0,NtOpenFile 2 0,GetUserNameW 1 0,NtUnmapViewOfSection 1 0,CoCreateInstance 1 0,GetSystemDirectoryW 2 0,NtQueryDirectoryFile 8 8,SetUnhandledExceptionFilter 0 1,GetTempPathW 2 0,NtCreateFile 6 78,GetSystemTimeAsFileTime 2 0,CertOpenSystemStoreA 1 0,RegEnumKeyExA 14 2,closesocket 3 0,NtCreateMutant 4 0,NtProtectVirtualMemory 3 0,SHGetFolderPathW 164 0,LdrGetDllHandle 705 2,NtCreateSection 4 0,socket 3 0,GetUserNameA 2 0,NtOpenKey 3 0,NtOpenMutant 0 4,OpenSCManagerW 1 0,LdrGetProcedureAddress 848 0,RegSetValueExA 1 0,StartServiceA 1 0,SetFileAttributesW 3 0,SetFileTime 3 0,LdrLoadDll 31 0,GetSystemWindowsDirectoryW 1 0,InternetCrackUrlA 6 0,UuidCreate 1 0,NtQueryInformationFile 2 0,NtQueryValueKey 0 3,"
1d2abc4f0864bbc93abad4075cd6d63fdc711e50.exe,"GetNativeSystemInfo 3 0,LdrUnloadDll 1 0,NtOpenSection 0 3,CoUninitialize 1 0,RegCloseKey 69 0,NtReadFile 2 0,WriteProcessMemory 5 0,NtSetContextThread 1 0,RegQueryValueExA 26 47,NtCreateFile 4 78,NtResumeThread 1 0,NtTerminateProcess 1 2,NtClose 71 0,RegCreateKeyExA 2 0,GetFileAttributesW 23 0,OpenServiceW 2 0,RegQueryValueExW 1 0,NtMapViewOfSection 5 0,FindFirstFileExW 8 194,SizeofResource 2 0,GetFileSize 3 0,GetUserNameW 1 0,RegOpenKeyExW 3 17,NtDelayExecution 6 0,NtDuplicateObject 8 0,InternetCrackUrlA 8 0,connect 0 3,NtAllocateVirtualMemory 18 0,ReadProcessMemory 1 0,RegOpenKeyExA 64 420,LdrGetDllHandle 9 2,OpenSCManagerW 1 0,OleInitialize 2 1,NtOpenFile 2 0,SHGetFolderPathW 188 0,CreateThread 1 0,CoCreateInstance 1 0,NtUnmapViewOfSection 1 0,NtQueryDirectoryFile 8 8,SetUnhandledExceptionFilter 0 2,GetTempPathW 2 0,NtFreeVirtualMemory 5 1,GetSystemTimeAsFileTime 1 0,CertOpenSystemStoreA 1 0,RegEnumKeyExA 16 4,closesocket 3 0,NtCreateMutant 4 0,socket 4 0,WSAStartup 1 0,UuidCreate 1 0,NtCreateSection 5 0,NtGetContextThread 1 0,GetUserNameA 2 0,NtOpenKey 3 0,NtOpenMutant 0 4,LoadResource 1 0,LdrGetProcedureAddress 66 0,RegSetValueExA 1 0,StartServiceA 1 0,SetFileAttributesW 3 0,SetFileTime 3 0,LdrLoadDll 36 0,LookupPrivilegeValueW 8 0,GetSystemWindowsDirectoryW 1 0,FindResourceA 1 0,NtQueryInformationFile 2 0,CreateProcessInternalW 1 0,NtQueryValueKey 0 3,"
