name,dns
0c3717b7dadd9dd11d3f09907642966760844081.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
7df834bb2b2c607998c44531ac4a61f257021adf.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
2cee4b412234fa4023e1b5434bc58b2bad3808d0.exe,"crl.microsoft.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
7ce7c8233d831f2f74b60d4edbe56a195f3b9a5f.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
2a3eda5fe9eaf322e8743091b26fcab960a733b6.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
5d1a0609e46dd36332388ba5dc4df782eea215a6.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
3ffeaf5dc18ffa8171fd24a59bda5d25ecacfb0d.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
10fb3761b504d84f2f4f8057df7769c4e5aded4a.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
6e5f22d604ed2c5fee7d24214ab6c86735eb9834.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
1d2abc4f0864bbc93abad4075cd6d63fdc711e50.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
5b555cbaa139169d2b8deca55c5ee2df31779aa7.exe,"www.msftncsi.com,tenuregrammarchecking.co.in,mintdv.info,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
2f95ba182f9bb4a914943017595983c7ea8b5a61.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
29cfa5b797c3f2fba88d58b9ee1bc147d50cbcfd.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
3a89c03efbed262f92f3bd7a40007ac2fc86a750.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
0e2fae11a6538cc040486e8daeb486456a3498a7.exe,"etsiunjour.fr,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
7c23f41853c86af8ff19585c9340c04c4495cdf2.exe,"www.msftncsi.com,teredo.ipv6.microsoft.com,dns.msftncsi.com,www.alberghi.com,"
3ba97efd29fa376eaffed1c978279cf799954888.exe,"crl.microsoft.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
6b774236f576425a0616ea8df1c233d80726714c.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
4a2af0c1aff1c28b254211537a9af6b2b6f9f96b.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
7f6399f16ac217f34e54c07a853b4eead9f01f4f.exe,"etsiunjour.fr,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
3e3069eb2afbe825e93c14bc8f7c080bce505404.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
9b46c1f35a30d14f846ceb257f52c881bdd96407.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
03c7dd4272f3502c11006574d803ffd3d1a5a901.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
1a783a68cc29bd1d27e0b7c11f68a00cbf84d681.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
16bcbfc564fb15ea971562c1b94d1bbb37a7017e.exe,"www.msftncsi.com,www.alberghi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
2e8a619aa752c4070b105ef76f2bfbf3900d9b63.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
2fea8ab00632561e7bf85c5355cb2dbb501009b8.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
015e2de98e16251f3e47c3090b2d6271c343af07.exe,"www.msftncsi.com,dare2dreamz.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
3c774feb5aa22272ab9f040352e8547125c5c767.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
8f57b090cc5461813d5f42f114a7dd663eb0cd7b.exe,"www.msftncsi.com,crl.microsoft.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
2ef92e2d8b09c7bb344b879107d4c6dbe02ea070.exe,"crl.microsoft.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
28fa9f9c95543d9bc25e173342faf5cb0c0baa65.exe,"www.msftncsi.com,crl.microsoft.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
8bdfb031f9c69c3a62253fc296a36cf4be242999.exe,"crl.microsoft.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
9f84351bde375f5887df9860d79691026a0eeacc.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
8f530319bb458c833fde54a8350bde377baa50d2.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
9dbc7f99fd8ca2dbe9a8bfe4db9ac7a30e2f42fd.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
9ade30edabf8c2ad21c433f99ae7646c8f8a8ca5.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
0e9b7236c5686e9e130e528dbdd3244a133e80e8.exe,"crl.microsoft.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
5c0c59e35e7094fc50bd771807ddd993c58604cd.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
6b2a26456bcaa40a6c8931abba6b0574c1b7767e.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
06f88502e0e498c75d3f03e5931e9d5aab9d7d5f.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
3d7ddd0abd8b6ee17f4fe450cee05b275a593f8c.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
23bc832e452cbe1ab72f0f067be5517b82cec116.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
3ed417b43ccf3a6be330bd2618774d8e22c73f4a.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
3f8564b692029057503e1d5292df2a221d69be5a.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
0d766eb9c937abe8a0785fcacb0dbf64159a85d0.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
9d1b94d80faa4726043afcbac04f7f914a2ee638.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
5d9ad5a293f4c11dc3796f04e7d9006c5661218f.exe,"crl.microsoft.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
003c10125d80ba6cdbb05bc9aa047c7dbaa6b7ff.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
8b8f4bbf655aba6af98bd74b8a116b0899b796c4.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
2b84fe732284dfdccefdfbe59a643e5a6b231158.exe,"crl.microsoft.com,www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
9af03a46ab15a6acd606e174b26b4dea5b8e57ce.exe,"crl.microsoft.com,www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
019de498b51002ad41fb948e998fb3cfcdb925c0.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
9c8a1391f27c66c7cdf5b780aff1898dde906ff2.exe,"crl.microsoft.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
8ecb96b7aa081cee9c6e94954261a1c8274f371d.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
2f0f0ebe0fafc37f14e6707ec5de76183486defb.exe,"etsiunjour.fr,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
0cf024bd2e9f5ac3a73ef9511042f8c1d16e743a.exe,"www.msftncsi.com,etsiunjour.fr,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
23dea8fbd7bceafebc3be1eb6346ef4e7eaf5a18.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
11b1dd8a414487bae7d7c66a3acc134f1c87ebe1.exe,"www.msftncsi.com,crl.microsoft.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
9c139a17355443940014443e4df5c66fc6bb346e.exe,"crl.microsoft.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
0aad95485aae806bbebbad6d6fc8a57530e84be2.exe,"www.msftncsi.com,etsiunjour.fr,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
6f78650b474495a779ab07ae5823d7bc15a9ee9e.exe,"dns.msftncsi.com,teredo.ipv6.microsoft.com,"
5ec731eb9f5dd23c78da2d32b58ccc4c60d4a727.exe,"www.msftncsi.com,dns.msftncsi.com,teredo.ipv6.microsoft.com,"
