name,file_opened,file_read
0c3717b7dadd9dd11d3f09907642966760844081.exe,6,1
7df834bb2b2c607998c44531ac4a61f257021adf.exe,0,0
2cee4b412234fa4023e1b5434bc58b2bad3808d0.exe,26,7
7ce7c8233d831f2f74b60d4edbe56a195f3b9a5f.exe,5,1
2a3eda5fe9eaf322e8743091b26fcab960a733b6.exe,0,0
5d1a0609e46dd36332388ba5dc4df782eea215a6.exe,6,1
3ffeaf5dc18ffa8171fd24a59bda5d25ecacfb0d.exe,5,1
10fb3761b504d84f2f4f8057df7769c4e5aded4a.exe,6,1
6e5f22d604ed2c5fee7d24214ab6c86735eb9834.exe,6,1
1d2abc4f0864bbc93abad4075cd6d63fdc711e50.exe,5,1
5b555cbaa139169d2b8deca55c5ee2df31779aa7.exe,5,1
2f95ba182f9bb4a914943017595983c7ea8b5a61.exe,6,1
29cfa5b797c3f2fba88d58b9ee1bc147d50cbcfd.exe,6,1
3a89c03efbed262f92f3bd7a40007ac2fc86a750.exe,0,0
0e2fae11a6538cc040486e8daeb486456a3498a7.exe,6,1
7c23f41853c86af8ff19585c9340c04c4495cdf2.exe,6,1
3ba97efd29fa376eaffed1c978279cf799954888.exe,22,7
6b774236f576425a0616ea8df1c233d80726714c.exe,5,1
4a2af0c1aff1c28b254211537a9af6b2b6f9f96b.exe,0,0
7f6399f16ac217f34e54c07a853b4eead9f01f4f.exe,6,1
3e3069eb2afbe825e93c14bc8f7c080bce505404.exe,6,1
9b46c1f35a30d14f846ceb257f52c881bdd96407.exe,6,1
03c7dd4272f3502c11006574d803ffd3d1a5a901.exe,5,1
1a783a68cc29bd1d27e0b7c11f68a00cbf84d681.exe,6,1
16bcbfc564fb15ea971562c1b94d1bbb37a7017e.exe,6,1
2e8a619aa752c4070b105ef76f2bfbf3900d9b63.exe,6,1
2fea8ab00632561e7bf85c5355cb2dbb501009b8.exe,0,0
015e2de98e16251f3e47c3090b2d6271c343af07.exe,6,1
3c774feb5aa22272ab9f040352e8547125c5c767.exe,6,1
8f57b090cc5461813d5f42f114a7dd663eb0cd7b.exe,22,7
2ef92e2d8b09c7bb344b879107d4c6dbe02ea070.exe,21,7
28fa9f9c95543d9bc25e173342faf5cb0c0baa65.exe,24,7
8bdfb031f9c69c3a62253fc296a36cf4be242999.exe,20,7
9f84351bde375f5887df9860d79691026a0eeacc.exe,6,1
8f530319bb458c833fde54a8350bde377baa50d2.exe,6,1
9dbc7f99fd8ca2dbe9a8bfe4db9ac7a30e2f42fd.exe,0,0
9ade30edabf8c2ad21c433f99ae7646c8f8a8ca5.exe,5,1
0e9b7236c5686e9e130e528dbdd3244a133e80e8.exe,24,7
5c0c59e35e7094fc50bd771807ddd993c58604cd.exe,6,1
6b2a26456bcaa40a6c8931abba6b0574c1b7767e.exe,6,1
06f88502e0e498c75d3f03e5931e9d5aab9d7d5f.exe,6,1
3d7ddd0abd8b6ee17f4fe450cee05b275a593f8c.exe,6,1
23bc832e452cbe1ab72f0f067be5517b82cec116.exe,0,0
3ed417b43ccf3a6be330bd2618774d8e22c73f4a.exe,5,1
3f8564b692029057503e1d5292df2a221d69be5a.exe,6,1
0d766eb9c937abe8a0785fcacb0dbf64159a85d0.exe,5,1
9d1b94d80faa4726043afcbac04f7f914a2ee638.exe,1,0
5d9ad5a293f4c11dc3796f04e7d9006c5661218f.exe,53,8
003c10125d80ba6cdbb05bc9aa047c7dbaa6b7ff.exe,6,1
8b8f4bbf655aba6af98bd74b8a116b0899b796c4.exe,6,1
2b84fe732284dfdccefdfbe59a643e5a6b231158.exe,21,7
9af03a46ab15a6acd606e174b26b4dea5b8e57ce.exe,22,7
019de498b51002ad41fb948e998fb3cfcdb925c0.exe,6,1
9c8a1391f27c66c7cdf5b780aff1898dde906ff2.exe,24,7
8ecb96b7aa081cee9c6e94954261a1c8274f371d.exe,6,1
2f0f0ebe0fafc37f14e6707ec5de76183486defb.exe,6,1
0cf024bd2e9f5ac3a73ef9511042f8c1d16e743a.exe,6,1
23dea8fbd7bceafebc3be1eb6346ef4e7eaf5a18.exe,6,1
11b1dd8a414487bae7d7c66a3acc134f1c87ebe1.exe,24,7
9c139a17355443940014443e4df5c66fc6bb346e.exe,22,7
0aad95485aae806bbebbad6d6fc8a57530e84be2.exe,6,1
6f78650b474495a779ab07ae5823d7bc15a9ee9e.exe,6,1
5ec731eb9f5dd23c78da2d32b58ccc4c60d4a727.exe,6,1
28adcda399ce6acba1c00d9ad5950c5e168edbf3.exe,6,1
13e336cab203819a7c76ab3ca08112a99b1b9cbc.exe,22,7
04fdd3edd1b58008eefe77753f22d501254c1565.exe,6,1
0cc86c8e870e647e33046ade1060d4c495257b34.exe,6,1
8b2d1780df9306c7bd8d734de86a5d91d853e674.exe,6,1
2a4449aba56579bc4bf061f9c9876d1ab190ea37.exe,24,7
024e3a15a27c5303c900850108599be501aa21da.exe,5,1
6f25212cc603231f5089e4dc51fc24e5f37799da.exe,22,7
8c213c85311f961294d684c7bba175d9304ba8fc.exe,6,1
30d6c2a2ef26e4852de50dfe9357eee86ba2ed8a.exe,22,7
